Campo,Valor
ID_Empleado,1719
Fecha,2026-04-24
Estado,presente
Horas_Trabajadas,3.28
---,---
ID_Empleado,1265
Fecha,2025-07-29
Estado,vacaciones 
Horas_Trabajadas,4.79
---,---
ID_Empleado,1674
Fecha,2025-12-31
Estado,vacaciones 
Horas_Trabajadas,5.18
---,---
ID_Empleado,1213
Fecha,2026-04-02
Estado,Tarde
Horas_Trabajadas,11.68
---,---
ID_Empleado,1773
Fecha,2026-03-11
Estado,Ausente
Horas_Trabajadas,2.14
---,---
ID_Empleado,1674
Fecha,2025-11-18
Estado,TARDE
Horas_Trabajadas,9.82
---,---
ID_Empleado,1508
Fecha,2026-05-25
Estado,vacaciones 
Horas_Trabajadas,4.77
---,---
ID_Empleado,1073
Fecha,2026-02-22
Estado,Vacaciones
Horas_Trabajadas,10.85
---,---
ID_Empleado,1536
Fecha,2025-09-24
Estado,Tarde
Horas_Trabajadas,1.45
---,---
ID_Empleado,1100
Fecha,2025-12-15
Estado,Ausente
Horas_Trabajadas,8.34
---,---
ID_Empleado,1031
Fecha,2025-08-21
Estado,vacaciones 
Horas_Trabajadas,9.84
---,---
ID_Empleado,1167
Fecha,2025-11-30
Estado,vacaciones 
Horas_Trabajadas,5.32
---,---
ID_Empleado,1188
Fecha,2025-10-09
Estado,vacaciones 
Horas_Trabajadas,5.9
---,---
ID_Empleado,1812
Fecha,2025-10-22
Estado,TARDE
Horas_Trabajadas,10.59
---,---
ID_Empleado,1377
Fecha,2025-07-23
Estado,presente
Horas_Trabajadas,9.86
---,---
ID_Empleado,1499
Fecha,2026-04-22
Estado,Tarde
Horas_Trabajadas,11.93
---,---
ID_Empleado,1323
Fecha,2026-03-04
Estado,Vacaciones
Horas_Trabajadas,3.43
---,---
ID_Empleado,1827
Fecha,2025-12-12
Estado,TARDE
Horas_Trabajadas,6.38
---,---
ID_Empleado,1854
Fecha,2025-10-26
Estado,Vacaciones
Horas_Trabajadas,8.4
---,---
ID_Empleado,1321
Fecha,2026-05-28
Estado,vacaciones 
Horas_Trabajadas,7.75
---,---
ID_Empleado,1420
Fecha,2026-04-07
Estado,Ausente
Horas_Trabajadas,6.82
---,---
ID_Empleado,1523
Fecha,2026-01-13
Estado,Ausente
Horas_Trabajadas,7.48
---,---
ID_Empleado,1163
Fecha,2026-05-17
Estado,Tarde
Horas_Trabajadas,4.07
---,---
ID_Empleado,1821
Fecha,2025-08-06
Estado,Ausente
Horas_Trabajadas,8.79
---,---
ID_Empleado,1850
Fecha,2025-10-28
Estado,presente
Horas_Trabajadas,1.24
---,---
ID_Empleado,1416
Fecha,2026-05-31
Estado,Tarde
